                                                                                                    0x00001505
ABILITIES                                                                                           0x5987c381
ITEMS                                                                                               0x0ce87403
ITEMS_SUBTEXT                                                                                       0x0d3428c5
IXP                                                                                                 0x0b87d9e4
Import_DefaultCanon                                                                                 0xd09c27a1
Import_KeepCanon                                                                                    0x4bfd2b71
Inner Iris Color                                                                                    0x0f8f6547
InvertXAxis                                                                                         0xd6a6214c
InvertYAxis                                                                                         0xd64ee80d
JOURNAL                                                                                             0x91a61164
JP0006                                                                                              0xb0fd8e99
Jaw Size                                                                                            0x120ac01c
Jawline                                                                                             0xf126b8d7
Join_Friends                                                                                        0xdb2e01d9
Join_Public                                                                                         0x39cc6af9
Join_Quickmatch                                                                                     0x55a90bae
Josephine                                                                                           0xeb3cd62c
Jowls                                                                                               0x0d213e48
KEEP_CHANGES_NO_RUNE                                                                                0xb371af99
KEEP_CHANGES_WITH_RUNE                                                                              0x2858ec9a
KINECT_LOCALE_DE                                                                                    0xd8326812
KINECT_LOCALE_DISABLED                                                                              0xab126943
KINECT_LOCALE_FR                                                                                    0xd8326847
KINECT_LOCALE_GB                                                                                    0xd83267b6
KINECT_LOCALE_US                                                                                    0xd8326675
KickAttack                                                                                          0xca6a5247
KinectLocale                                                                                        0x746d44f3
LABEL_CAPTION_LEADERBOARD_ERROR                                                                     0xca12102b
LABEL_ME                                                                                            0x99d110f4
LABEL_MESSAGE_LEADERBOARD_UNAVAILABLE                                                               0xad9348f4
LABEL_PAGE_DOWN                                                                                     0xc7265a22
LABEL_PAGE_UP                                                                                       0x65bc8f75
LAUNCH_PROVING_GROUNDS_LABEL                                                                        0xf53d574c
LEADERBOARDS                                                                                        0xf971a5f7
LEAVE_CONVERSATION_HOLD                                                                             0x858e48dc
LEAVE_CONVERSATION_TOGGLE                                                                           0xf42ce4a1
LEGEND_BACK                                                                                         0xaf20cc90
LEGEND_CHANGE_FLOOR                                                                                 0x3897a4da
LEGEND_CONFIRM                                                                                      0xf53bbe69
LEGEND_CONTRACT                                                                                     0x9bc30869
LEGEND_CRAFT_ITEM                                                                                   0xc73fd633
LEGEND_EXPAND                                                                                       0x0da585dd
LEGEND_FASTTRAVEL                                                                                   0xc6ecf383
LEGEND_FLOOR_DOWN                                                                                   0x3cd0c3ee
LEGEND_FLOOR_UP                                                                                     0x03d12b39
LEGEND_HEADER                                                                                       0xf5dadc24
LEGEND_JOURNAL                                                                                      0xf9db0f5a
LEGEND_JUMP_TO_MAP                                                                                  0xecdb8b3e
LEGEND_LEGEND                                                                                       0xfea1f11a
LEGEND_LOCALMAP                                                                                     0xd2b2be6a
LEGEND_MAIN                                                                                         0xaf215170
LEGEND_MAP_POTION                                                                                   0xa51d973b
LEGEND_MARK_ACTIVE                                                                                  0xdd5cc3fd
LEGEND_MARK_INACTIVE                                                                                0xd12f529a
LEGEND_NEXT_CHARACTER                                                                               0x3983231a
LEGEND_PERKS                                                                                        0x92859944
LEGEND_PREVIOUS_CHARACTER                                                                           0x055bc72c
LEGEND_RELATED_CODEX                                                                                0x717a351e
LEGEND_REMOVE_UPGRADE                                                                               0x4e712e32
LEGEND_RENAME                                                                                       0xd577340b
LEGEND_REPLENISH                                                                                    0xa40f44c9
LEGEND_REPLENISH_ALL                                                                                0xf02986f7
LEGEND_SELECT                                                                                       0xd3452b33
LEGEND_SWITCH_CHAR                                                                                  0x40ad186e
LEGEND_SWITCH_CHARACTERS                                                                            0x6ab0d21c
LEGEND_TINT_ITEM                                                                                    0x7f5deab6
LEGEND_TOGGLEMPRESTRICTIONS                                                                         0x937d7913
LEGEND_TOGGLE_WAYPOINT                                                                              0xb6fea915
LEGEND_TRACK_JOURNAL                                                                                0xe050840a
LEGEND_TRAVEL                                                                                       0xed4bf323
LEGEND_UNTRACK_JOURNAL                                                                              0x600afd51
LEGEND_VIEW_MAP                                                                                     0x3757eb55
LEGEND_WORLDMAP                                                                                     0x3e815ae5
LEGEND_ZOOM                                                                                         0xaf13cc8c
LEGEND_ZOOM_IN                                                                                      0x2a5e4874
LEGEND_ZOOM_OUT                                                                                     0x76274d1d
LEVEL_LABEL                                                                                         0xd8c328ca
LHoof                                                                                               0x0cead0a7
LOAD                                                                                                0x7c836563
LOADCONFIRM                                                                                         0xd80f1eb1
LOADOUT                                                                                             0x093aae2d
LOADOUT_SUBTEXT                                                                                     0xa09a7feb
LOCKED                                                                                              0xaaef3fcf
LOCKED_SLOT                                                                                         0xb499c234
LOW_HEALTH                                                                                          0x6f62d2d2
Lady Marcellette                                                                                    0xdfa760ed
Leaderboards                                                                                        0xe0a009d7
Left                                                                                                0x7c83f1be
Left Hand                                                                                           0xaab3f63d
LeftClaw                                                                                            0x1c5e3cc7
LeftHand                                                                                            0x1c59855d
LeftHand Large                                                                                      0xe37b3de0
LeftPaw                                                                                             0x56312018
Leliana                                                                                             0x55bf3ba7
LevelUp                                                                                             0x574d2ab6
Lip Color                                                                                           0x6eac1f6d
Lip Color Intensity                                                                                 0x9d21fb82
Lip Liner Color                                                                                     0x1f776691
Lip Shine                                                                                           0x6d8b2f29
Lip Thickness                                                                                       0x13b76fa6
Loghain                                                                                             0x50e0562f
MALE                                                                                                0x7c80b860
MASTERWORK_ABILITY                                                                                  0xae42d3e5
MASTERWORK_FAILURE                                                                                  0x2fff6c87
MASTERWORK_SUCCESS                                                                                  0x912b5644
MATCH_TIME                                                                                          0x1073895c
MATERIAL_OPTIONAL_TEMPLATE                                                                          0xf83076b0
MATERIAL_REQUIREMENT_TEMPLATE                                                                       0x88556761
MODIFY                                                                                              0x9fb28b35
MODSLOTS                                                                                            0x56afd4b4
MPLobby_Armor_Crafting                                                                              0xdc3ce323
MPLobby_Armor_Upgrades                                                                              0xc248a662
MPLobby_Challenges                                                                                  0xb007a6cd
MPLobby_Equipment                                                                                   0x73f76457
MPLobby_Leaderboards                                                                                0x7ede4b0f
MPLobby_Store                                                                                       0x91bb31e2
MPLobby_Weapon_Crafting                                                                             0xd4dcc042
MPLobby_Weapon_Upgrades                                                                             0xc0b34383
MPServerEnum_ConsumableType                                                                         0x157f838a
MPServerEnum_Level                                                                                  0x10671207
MP_PURCHASE_LABEL_CURRENCY_OR                                                                       0x2c6cf7ef
MP_STORE_CHOOSE_PURCHASE_CURRENCY                                                                   0x0ddba3f6
MP_STORE_NO_OFFERS                                                                                  0xbe3531f2
MP_STORE_UNSUPPORTED                                                                                0xd65c33f2
MULTIPLAYER                                                                                         0x7a4f149f
MUTE_PLAYER_BUTTON_LABEL                                                                            0xe49b3e70
MainCapacityBar                                                                                     0x96f79eeb
MainHand                                                                                            0xf449474d
MainHand_Crawling                                                                                   0x327dac99
MainMPMenu                                                                                          0x31742600
Makeup                                                                                              0x9d80ef02
Mantle                                                                                              0x9d82c35a
MasterVolume                                                                                        0x9b23a311
MeshQuality                                                                                         0x6960ce1b
MiddleTentacle07                                                                                    0xea61110f
MiddleTentacle08                                                                                    0xea611100
MiddleTentacle09                                                                                    0xea611101
MiddleTentacle10                                                                                    0xea611169
MiddleTentacle11                                                                                    0xea611168
MiddleTentacle12                                                                                    0xea61116b
MiddleTentacle13                                                                                    0xea61116a
Morrigan                                                                                            0x6832a306
MouseRawInput                                                                                       0x11421d76
MouseScrollTacCam                                                                                   0x692386f0
MouseSensitivity                                                                                    0xae293ee9
MouseSmoothing                                                                                      0x3ceaaaa6
Mouth                                                                                               0x0c84c98e
Mouth Position                                                                                      0x0138a257
Mouth Shape                                                                                         0xdc71a761
Mouth Width                                                                                         0xdc25b508
Mouth and Jaw                                                                                       0x3a2c9f99
MusicVolume                                                                                         0xb5467b2c
NEWGAME                                                                                             0x7e495997
NEW_SAVE                                                                                            0x45cc3e07
NEXT_CHAR                                                                                           0xe34c2885
NOITEMS                                                                                             0x6f9971a2
NOTHING_FOR_SALE                                                                                    0x89490778
NOTHING_TO_SELL                                                                                     0xc25b6035
NOT_ENOUGH_MATERIALS                                                                                0x5a5d1a76
NOT_EVERY_SLOT_VALID                                                                                0x87a698c0
NO_ITEMS                                                                                            0x8b3e389d
NO_RECIPES                                                                                          0xb9356940
NO_TYPE_UPGRADES_TEMPLATE                                                                           0x5b897df0
NO_UPGRADES_FOR_ITEM                                                                                0xde105156
NPEB01095_00                                                                                        0x52ba247e
NPJB00640_00                                                                                        0xcfcd24be
NPUB30766_00                                                                                        0xd8205d87
NPWR03534_00                                                                                        0xb8a56570
NPWR05671_00                                                                                        0x331d1274
NewAgent                                                                                            0x9b55a7c0
NewItem                                                                                             0xc6a0e6ec
Nobleman                                                                                            0xb209dd2d
Noblewoman                                                                                          0x5d3eb555
None                                                                                                0x7c82d16f
Nose                                                                                                0x7c82d2d2
Nose Bridge Size                                                                                    0x43014988
Nose Position                                                                                       0x4edc0e0b
Nose Shape                                                                                          0x05fbcc3d
Nose Size                                                                                           0x6507a6f7
Nose Tip Position                                                                                   0x6c49d0a6
Nose Tip Size                                                                                       0x30a9a2da
Nostril Size                                                                                        0x32ffd9d1
NotePopUp                                                                                           0xc491afbf
OK                                                                                                  0x00597361
ONLINECONTENT                                                                                       0x02e52dc3
OPTIONS                                                                                             0x8199e7d5
OVERWRITE                                                                                           0x2616bf36
OffHand                                                                                             0x0ff10749
OgreGrab                                                                                            0xf270caec
OptionEnableSubtitles                                                                               0xd146b7f0
OptionSubtitleSize                                                                                  0x2c3825c7
Outer Iris Color                                                                                    0x8a566180
OverallGraphicsQuality                                                                              0x6179f6f2
PARTYSTORAGE                                                                                        0x2a323a92
PC_Arrow_Load                                                                                       0xfe6d8e09
PC_Arrow_Load2                                                                                      0xcc1f4f1b
PERK                                                                                                0x7c89de89
PERK_REQ_COLOR_TEMPLATE                                                                             0x4b9621dd
PERSONAL_BEST_TIME                                                                                  0x452b3268
PIN_ACTIVE_QUEST                                                                                    0x78ba3f18
PIN_AREA_EXIT                                                                                       0xd1b00d05
PIN_ASTROLABE                                                                                       0x430023dc
PIN_CAMP                                                                                            0xf852ff92
PIN_CAMP_UNCLAIMED                                                                                  0x7bad85bd
PIN_CHECKPOINT                                                                                      0xd80bf8c7
PIN_CRAFTING                                                                                        0xe9fb538f
PIN_CRIT_PATH                                                                                       0xa38556b3
PIN_DOOR                                                                                            0xf850433b
PIN_DOOR_LOCKED                                                                                     0xf8e5c94e
PIN_DUNGEON                                                                                         0x24807751
PIN_FADE_TEAR                                                                                       0xb937fc56
PIN_HAZARD                                                                                          0x4403a589
PIN_INQUISIT                                                                                        0xf859b589
PIN_LOCATION                                                                                        0xc3f69190
PIN_MERCHANT                                                                                        0xf45be627
PIN_MINIGAME                                                                                        0xfa055920
PIN_OUTPOST                                                                                         0x0da582bb
PIN_OUTPOST_UNCLAIMED                                                                               0x5b1e1bd4
PIN_PARTY_MEMBER                                                                                    0x07271a0c
PIN_PLAYER                                                                                          0x7b2baa9e
PIN_PLAYER_BASE                                                                                     0x25252cf4
PIN_PLOT_GIVER                                                                                      0x945b6c5a
PIN_POI                                                                                             0xb2314e5b
PIN_QUEST                                                                                           0x035f75eb
PIN_STAIRSDOWN                                                                                      0x60b21371
PIN_STAIRSUP                                                                                        0x9f006866
PIN_TOWN                                                                                            0xf859062f
PIN_UNDISCOVERED                                                                                    0xbddeff24
PIN_VIEWSKULL                                                                                       0xc6ce0a8d
PIN_VISTA                                                                                           0x03528454
PIN_WORLDMAP                                                                                        0x579512d3
PLATINUM_CURRENCY_LABEL                                                                             0xcf738f92
POINTS_COLOR_TEMPLATE                                                                               0xced71837
POINTS_TO_SPEND                                                                                     0x6c54f74d
POINT_REQ_COLOR_TEMPLATE                                                                            0xb794c59d
POPUP_CANCEL                                                                                        0x01a1c1d6
POPUP_CANNOT_PURCHASE_ABILITY                                                                       0x3ab2b7e0
POPUP_CLOSE                                                                                         0xd9479ae6
POPUP_CONFIRMATION_AUTOLEVEL_DESCRIPTION                                                            0x091a6680
POPUP_CONFIRMATION_CLOSE_TITLE                                                                      0x01f4be89
POPUP_CONFIRMATION_DESCRIPTION                                                                      0xc9bd32e6
POPUP_CONFIRMATION_TITLE                                                                            0xb4148ac0
POPUP_NEXT                                                                                          0x25a32997
POPUP_OKAY                                                                                          0x25a3868c
POPUP_PREVIOUS                                                                                      0x6968dee1
POPUP_RESET_ABILITIES                                                                               0xe3860dde
POPUP_SCREEN_READ_ONLY                                                                              0x2d3545ba
POPUP_TITLE                                                                                         0xd7f2e9b0
POTIONS                                                                                             0xb6b3d4b5
POTIONS_MENU_ITEM                                                                                   0x23dc7b93
POWER                                                                                               0x0dcd4efa
PRESS_START_PS3                                                                                     0x15275312
PRESS_START_PS4                                                                                     0x15275315
PRESS_START_WIN32                                                                                   0xfcd10153
PRESS_START_WIN32_MOUSE                                                                             0x047b76ed
PRESS_START_XBONE                                                                                   0xfce2b1dc
PRESS_START_XENON                                                                                   0xfce42110
PREVIOUS_CHAR                                                                                       0x9369aff3
PRIMARY_STAT_WITH_DAMAGE_TYPE                                                                       0x88e8fe8a
PROMOTED_STATS                                                                                      0x0d7ea141
PROMOTE_BUTTON_LABEL                                                                                0x062bc1ab
PS3_L1_Load                                                                                         0x8457314e
PS3_R1_Load                                                                                         0xa502ffd0
PS3_RStick_Load                                                                                     0x5f84f267
PS_FULL                                                                                             0x89fe434a
PS_LT                                                                                               0x0dc2df01
PS_RB                                                                                               0x0dc2de49
PS_RT                                                                                               0x0dc2de5f
PS_WAIT                                                                                             0x89f32d52
Panel                                                                                               0x0dd93e73
PanelMini                                                                                           0xbc4b96f0
PanelMiniRight                                                                                      0x331ab790
PanelRight                                                                                          0x43da68b3
PartyCard_Blackwall                                                                                 0xf323adb1
PartyCard_Blackwall2                                                                                0x579963e3
PartyCard_Blackwall3                                                                                0x579963e2
PartyCard_Blackwall4                                                                                0x579963e5
PartyCard_Cassandra                                                                                 0x4ff12cfa
PartyCard_Cassandra2                                                                                0x4e16cc08
PartyCard_Cassandra3                                                                                0x4e16cc09
PartyCard_Cole                                                                                      0x972add25
PartyCard_Cole2                                                                                     0x7c8681f7
PartyCard_Cole3a                                                                                    0x0d56c0d7
PartyCard_Cole3b                                                                                    0x0d56c0d4
PartyCard_Dorian                                                                                    0x0aca73bf
PartyCard_Dorian2                                                                                   0x6418ebad
PartyCard_Dorian3                                                                                   0x6418ebac
PartyCard_IronBull                                                                                  0xf47d86ad
PartyCard_IronBull2                                                                                 0x842e5c7f
PartyCard_IronBull3a                                                                                0x09f9ec5f
PartyCard_IronBull3b                                                                                0x09f9ec5c
PartyCard_Sera                                                                                      0x973378e5
PartyCard_Sera2                                                                                     0x7da295b7
PartyCard_Sera3                                                                                     0x7da295b6
PartyCard_Solas                                                                                     0x7da80922
PartyCard_Solas2                                                                                    0x32a92d50
PartyCard_Solas3                                                                                    0x32a92d51
PartyCard_Varric                                                                                    0x3d99ebbd
PartyCard_Varric2                                                                                   0xf0d7636f
PartyCard_Varric3                                                                                   0xf0d7636e
PartyCard_Vivienne                                                                                  0x68c2e620
PartyCard_Vivienne2                                                                                 0x811faa12
PartyCard_Vivienne2b                                                                                0xa514ec30
PartyCard_Vivienne3                                                                                 0x811faa13
PartyMemberClassType_Mage                                                                           0xfbbe8dfc
PartyMemberClassType_Rogue                                                                          0x7144e4d8
PartyMemberClassType_Warrior                                                                        0x9e4c5010
PauseCombat                                                                                         0xc6a396e1
PauseInfoExport                                                                                     0x8b06b07d
PauseInfoPosition                                                                                   0x58c3aa80
PauseInfoPositionBG                                                                                 0x98585345
PauseInfoStatus                                                                                     0x6d2aabed
PauseInfoTeam                                                                                       0x2795f8e4
PauseOnTacCamEnter                                                                                  0xdf7618e7
PauseWhileTargetingAOEs                                                                             0x77ec7ba1
Pickup_card1                                                                                        0x779f154b
Pickup_card2                                                                                        0x779f1548
Pickup_card3                                                                                        0x779f1549
Pickup_potion                                                                                       0x8dbaf7ed
PlotHelpIcons                                                                                       0xbc0959eb
Poisoned                                                                                            0xea341580
Pommel                                                                                              0xc9afeab3
PostProcessQuality                                                                                  0xf3b6851b
PotionRingNumber                                                                                    0x82ffc517
Potions                                                                                             0xff25d975
Prime                                                                                               0x0dd32706
QUANTITY                                                                                            0xdcf1151e
QUEST_TRACKER_COMPLETED_QUEST                                                                       0x6d68b8ef
QUICK                                                                                               0x0d6622e0
QUICKMATCH                                                                                          0xb351a3b3
QUIT                                                                                                0x7c86f95c
QUIT_GAME                                                                                           0xe4f93f0d
QUNARI_FEMALE_INQUISITOR_NAME                                                                       0xcd0b66b2
QUNARI_MALE_INQUISITOR_NAME                                                                         0xa4159031
QuadIconPanelMini                                                                                   0x5d9e36ba
QuadIconPanelMiniRight                                                                              0x330fd09a
QuestTracker                                                                                        0x0ef69f5b
Quickmatch                                                                                          0x2731ac53
RANK_TEXT                                                                                           0x2e3371b1
RAntler                                                                                             0x12332417
READYUP_BUTTON_LABEL                                                                                0xa4a0c71b
RECIPE_TYPE_LABEL                                                                                   0xedde9cb3
REPORT_APPROPRIATION                                                                                0x5922093e
REPORT_SCOUTING                                                                                     0xf254726a
REQUIREMENTS                                                                                        0xd1c4bd09
RESEARCH                                                                                            0xb0fe50fc
RESEARCH_ALL_OF_REQS                                                                                0x7d62cd1e
RESEARCH_ONE_OF_REQS                                                                                0xe44b1c5b
RESEARCH_ONLY_ONE                                                                                   0x1852356c
RESEARCH_ROW_TXT                                                                                    0x3112708e
RESET_OPTIONS                                                                                       0xf35ab4ff
RESOLUTION_DESC_TEMPLATE                                                                            0xa120c0ca
RESOLUTION_POPUP_TITLE                                                                              0x0e1d2ce1
RESPECCHARACTER_BUTTON_LABEL                                                                        0xa79be53e
RESTART_WARNING                                                                                     0xd94b42c7
RESUME                                                                                              0xc21a5c1c
RETURN_TO_GAME                                                                                      0x7ba1a15a
REVIEW_CONFIRM_SUBTITLE                                                                             0x49de1169
REVIEW_CONFIRM_TITLE                                                                                0xe82c0d6d
REWARD_LABEL                                                                                        0xfb8ddacb
REWARD_TEXT                                                                                         0x2e765cf0
REWARD_TEXT_APPROPRIATION                                                                           0xf1079e85
REWARD_TEXT_OPERATIONUNLOCK                                                                         0x946a926a
REWARD_TEXT_SCOUTING                                                                                0xd97a12f1
RHoof                                                                                               0x0daa5a39
ROTATE_CAMERA                                                                                       0xf567481a
RadialMenuBehavior                                                                                  0xf0f02e09
ReadyFlash                                                                                          0x5b08b9fe
Rescued Soldier                                                                                     0xb53bbd7c
ResolutionScale                                                                                     0x3b8714b3
Right                                                                                               0x0dbb7905
Right Hand                                                                                          0x245ed5a6
RightClaw                                                                                           0x014ebdbc
RightHand                                                                                           0x01537526
RightPaw                                                                                            0xba38f703
Root                                                                                                0x7c8986c3
SAVE                                                                                                0x7c8a83e4
SAVE_ICON_MESSAGE                                                                                   0x73253c64
SCHEMATIC_TYPE_LABEL                                                                                0x99cbe394
SCREENSHOT_TEXT                                                                                     0x119069eb
SCREEN_INFO                                                                                         0x843da718
SCREEN_TITLE                                                                                        0x0a36aa56
SECRETS_TEXT                                                                                        0x1b7f0282
SELECT                                                                                              0xc903048d
SELECT_BUTTON                                                                                       0x99e22fc4
SELECT_BUTTON_LABEL                                                                                 0x77d179fd
SELECT_CATEGORY_LABEL                                                                               0xc4538adb
SELECT_ITEM                                                                                         0x85743aa7
SELL                                                                                                0x7c8a76b3
SELLALL                                                                                             0xe961f3d2
SETTINGS_BUTTON_LABEL                                                                               0x903d00f0
SET_BANNER                                                                                          0x9797cf0c
SET_PORTRAIT                                                                                        0x77752acf
SET_TITLE                                                                                           0xd4c4bed8
SHARD_SPOTTED                                                                                       0xea41f8bb
SHOW_IMAGE                                                                                          0xfd8ffbbe
SHOW_TEXT                                                                                           0x172ed784
SKIP                                                                                                0x7c8aaf04
SKIP_BUTTON_LABEL                                                                                   0xf506d9d4
SKIP_DISABLED_INSTALLING                                                                            0xf8d1c415
SKIP_LINE                                                                                           0x292aefd5
SOCIAL                                                                                              0xc9b1e8fe
SOCIAL_MENU_ITEM                                                                                    0xae1201d8
